capitulo,leccion,dificultad,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Series y Sucesiones,Integrales impropias,medio,"Usando el Teorema de Comparacion, determine si $\int_1^{\infty} \frac{1}{x^3+1}\,dx$ converge o diverge.",Diverge,Converge a exactamente $\frac{1}{2}$,No se puede determinar,Converge,D,"Para $x\ge 1$: $0 < \frac{1}{x^3+1} < \frac{1}{x^3}$ y $\int_1^{\infty}\frac{1}{x^3}dx$ converge ($p=3>1$). Por comparacion, converge."
Series y Sucesiones,Integrales impropias,medio,"Calcule $\int_0^3 \frac{1}{\sqrt{3-x}}\,dx$.",$3$,$\sqrt{3}$,$2\sqrt{3}$,Diverge,C,Hay discontinuidad en $x=3$. La antiderivada es $-2\sqrt{3-x}$. Evaluando: $\lim_{t\to 3^-}(-2\sqrt{3-t}+2\sqrt{3})=2\sqrt{3}$.
Series y Sucesiones,Integrales impropias,medio,"Determine si $\int_0^1 \frac{1}{x^2}\,dx$ converge o diverge.",Diverge,Converge a $2$,Converge a $1$,Converge a $-1$,A,"$\int_t^1 \frac{1}{x^2}dx = -\frac{1}{x}\Big\rvert_t^1 = -1+\frac{1}{t}$. Como $\lim_{t\to 0^+}\frac{1}{t}=\infty$, diverge."
Series y Sucesiones,Integrales impropias,medio,"Determine si $\int_1^{\infty} \frac{1}{\sqrt{x}}\,dx$ converge o diverge.",Converge a $2$,Converge a $1$,Diverge,Converge a $\frac{1}{2}$,C,"Es la p-integral con $p=\frac{1}{2}\le 1$, por lo tanto diverge."
Series y Sucesiones,Integrales impropias,dificil,"Calcule $\int_{-\infty}^{\infty} \frac{1}{1+x^2}\,dx$.",$\pi$,$\frac{\pi}{2}$,$2\pi$,Diverge,A,$\int \frac{dx}{1+x^2}=\arctan(x)$. Separamos: $\lim_{t\to-\infty}\arctan(t)=-\frac{\pi}{2}$ y $\lim_{t\to\infty}\arctan(t)=\frac{\pi}{2}$. Total: $\frac{\pi}{2}-(-\frac{\pi}{2})=\pi$.
Series y Sucesiones,Integrales impropias,dificil,"Usando el Teorema de Comparacion, determine si $\int_1^{\infty} \frac{\sin^2(x)}{x^2}\,dx$ converge o diverge.",Diverge,No se puede determinar,Converge a $\frac{\pi}{2}$,Converge,D,"$0 \le \frac{\sin^2(x)}{x^2} \le \frac{1}{x^2}$ para $x\ge 1$, y $\int_1^\infty \frac{1}{x^2}dx$ converge. Por comparacion, converge."
Series y Sucesiones,Integrales impropias,dificil,"Calcule $\int_0^{\infty} x e^{-x}\,dx$.",$0$,$1$,$\frac{1}{2}$,$e$,B,"Integrando por partes: $u=x$, $dv=e^{-x}dx$. Se obtiene $[-xe^{-x}-e^{-x}]_0^\infty = 0-(-1)=1$."
Series y Sucesiones,Integrales impropias,dificil,"Determine si $\int_0^{\infty} \frac{x}{x^4+1}\,dx$ converge o diverge.",Diverge,Converge a $\frac{\pi}{4}$,Converge,No se puede determinar,B,Con la sustitucion $u=x^2$: $\frac{1}{2}\int_0^\infty \frac{du}{u^2+1} = \frac{1}{2}\arctan(u)\Big\rvert_0^\infty = \frac{1}{2}\cdot\frac{\pi}{2}=\frac{\pi}{4}$.
Series y Sucesiones,Integrales impropias,dificil,"Calcule $\int_0^1 \ln(x)\,dx$.",$-1$,Diverge,$0$,$1$,A,Integrando por partes: $\int \ln(x)dx = x\ln(x)-x$. Evaluando: $(0-1)-\lim_{t\to 0^+}(t\ln t - t)= -1-0=-1$.
Series y Sucesiones,Integrales impropias,dificil,"Determine si $\int_1^{\infty} \frac{\ln(x)}{x^2}\,dx$ converge o diverge. Si converge, calcule su valor.",Converge a $1$,Converge a $\ln(2)$,Converge a $\frac{1}{2}$,Diverge,A,"Integrando por partes con $u=\ln(x)$, $dv=\frac{dx}{x^2}$: $\left[-\frac{\ln x}{x}+\int\frac{dx}{x^2}\right]_1^\infty = \left[-\frac{\ln x}{x}-\frac{1}{x}\right]_1^\infty = 0-(0-1)=1$."
Series y Sucesiones,Sucesiones,facil,Calcule $\lim_{n\to\infty} \frac{1}{n}$.,$\infty$,$1$,$0$,No existe,C,"A medida que $n$ crece, $\frac{1}{n}$ se acerca a $0$."
Series y Sucesiones,Sucesiones,facil,Determine si la sucesion $a_n = 2^n$ converge o diverge.,Converge a $0$,Diverge,Converge a $\infty$,Converge a $2$,B,"Como $\lim_{n\to\infty}2^n=\infty$, la sucesion diverge."
Series y Sucesiones,Sucesiones,facil,¿Cual es el limite de la sucesion geometrica $a_n = 3\left(\frac{1}{2}\right)^n$?,$0$,$\frac{3}{2}$,$3$,$\frac{1}{2}$,A,"Es geometrica con razon $r=\frac{1}{2}$. Como $\lvert r\rvert < 1$, $a_n \to 0$."
Series y Sucesiones,Sucesiones,facil,Calcule los tres primeros terminos de $a_n = \frac{(-1)^n(n+1)}{3^n}$.,"$-\frac{1}{3},\; \frac{2}{9},\; -\frac{3}{27}$","$\frac{2}{3},\; -\frac{3}{9},\; \frac{4}{27}$","$-\frac{2}{3},\; \frac{3}{9},\; -\frac{4}{27}$","$\frac{1}{3},\; -\frac{2}{9},\; \frac{3}{27}$",C,"$a_1=\frac{(-1)^1\cdot 2}{3}=-\frac{2}{3}$, $a_2=\frac{(-1)^2\cdot 3}{9}=\frac{1}{3}$, $a_3=\frac{(-1)^3\cdot 4}{27}=-\frac{4}{27}$."
Series y Sucesiones,Sucesiones,facil,Una sucesion converge si:,Sus terminos son siempre positivos,Sus terminos son decrecientes,Su limite existe y es finito,Tiene infinitos terminos,C,"Por definicion, una sucesion converge si $\lim_{n\to\infty}a_n = L$ existe y $L$ es finito."
Series y Sucesiones,Sucesiones,facil,Calcule $\lim_{n\to\infty} \frac{2n+1}{n}$.,$1$,$\infty$,$3$,$2$,D,Dividiendo: $\frac{2n+1}{n}=2+\frac{1}{n}\to 2$.
Series y Sucesiones,Sucesiones,medio,Calcule $\lim_{n\to\infty} \frac{3n^2+n}{5n^2-2}$.,$\frac{3}{5}$,$\frac{1}{5}$,$\frac{3}{2}$,$0$,A,Dividiendo numerador y denominador entre $n^2$: $\frac{3+\frac{1}{n}}{5-\frac{2}{n^2}}\to\frac{3}{5}$.
Series y Sucesiones,Sucesiones,medio,Determine si la sucesion $a_n = \frac{(-1)^n}{n}$ converge o diverge.,Diverge porque oscila,Converge a $1$,Converge a $0$,Converge a $-1$,C,"$\lvert a_n\rvert = \frac{1}{n}\to 0$. Por el teorema de convergencia absoluta, $a_n\to 0$."
Series y Sucesiones,Sucesiones,medio,"Usando el Teorema del Sandwich, calcule $\lim_{n\to\infty} \frac{\sin(n)}{n}$.",$1$,$0$,$-1$,No existe,B,"$-\frac{1}{n} \le \frac{\sin(n)}{n} \le \frac{1}{n}$ y ambas cotas tienden a $0$. Por el Teorema del Sandwich, el limite es $0$."
Series y Sucesiones,Sucesiones,medio,"Determine si la sucesion $a_n = \frac{n}{n+1}$ es monotona creciente, decreciente, o ninguna.",Monotona decreciente,Es constante,No es monotona,Monotona creciente,D,"$a_{n+1}-a_n = \frac{n+1}{n+2}-\frac{n}{n+1}=\frac{1}{(n+1)(n+2)}>0$, asi que es creciente."
Series y Sucesiones,Sucesiones,medio,Determine si la sucesion $a_n = \frac{n}{n+1}$ es acotada.,Acotada: $\frac{1}{2} \le a_n < 1$,Acotada superiormente por $1$ pero no inferiormente,No es acotada,Acotada superiormente por $2$,A,"$a_1=\frac{1}{2}$ es el minimo y $a_n<1$ para todo $n$, asi que $\frac{1}{2}\le a_n < 1$."
Series y Sucesiones,Sucesiones,medio,Calcule $\lim_{n\to\infty} \frac{n^3+2n}{4n^3-n^2+1}$.,$\frac{1}{4}$,$\frac{1}{2}$,$0$,$\infty$,A,Dividiendo entre $n^3$: $\frac{1+\frac{2}{n^2}}{4-\frac{1}{n}+\frac{1}{n^3}}\to \frac{1}{4}$.
Series y Sucesiones,Sucesiones,medio,¿Cual es el limite de la sucesion $a_n = \left(1+\frac{3}{n}\right)^n$?,$e^3$,$3$,$1$,$\infty$,A,"Por el limite notable $\lim_{n\to\infty}(1+\frac{k}{n})^n = e^k$, con $k=3$ obtenemos $e^3$."
Series y Sucesiones,Sucesiones,medio,La sucesion $a_n = (-1)^n$ es:,Convergente a $0$,Divergente porque oscila,Convergente a $1$,Convergente a $-1$,B,"Alterna entre $1$ y $-1$ sin acercarse a ningun valor, por lo tanto diverge."
Series y Sucesiones,Sucesiones,dificil,"Sea $a_1=2$ y $a_{n+1}=\frac{1}{2}(a_n+6)$. Si la sucesion converge, ¿a que valor converge?",$4$,$8$,$3$,$6$,D,"Si converge a $L$: $L=\frac{1}{2}(L+6)$, entonces $2L=L+6$, luego $L=6$."
Series y Sucesiones,Sucesiones,dificil,Calcule $\lim_{n\to\infty} \frac{n!}{n^n}$.,$1$,$0$,$e$,$\infty$,B,Cada factor $\frac{k}{n}\le 1$ y al menos uno es $\frac{1}{n}\to 0$. El producto tiende a $0$.
Series y Sucesiones,Sucesiones,dificil,Calcule $\lim_{n\to\infty} \sqrt[n]{n}$.,$0$,$e$,$1$,$\infty$,C,"Usando $n^{1/n}=e^{\frac{\ln n}{n}}$ y como $\frac{\ln n}{n}\to 0$, el limite es $e^0=1$."
Series y Sucesiones,Sucesiones,dificil,Determine si la sucesion $a_n = \frac{2^n}{n!}$ converge o diverge.,Diverge,Converge a $2$,Converge a $e^2$,Converge a $0$,D,"Para $n>2$, $\frac{a_{n+1}}{a_n}=\frac{2}{n+1}<1$, asi que decrece. Como es positiva y decreciente, converge. El limite es $0$."
Series y Sucesiones,Sucesiones,dificil,Calcule $\lim_{n\to\infty} \frac{\ln(n)}{n}$.,$1$,$0$,$\infty$,$\ln(e)$,B,Por L'Hopital (version para sucesiones via funciones): $\lim_{x\to\infty}\frac{\ln x}{x}=\lim_{x\to\infty}\frac{1/x}{1}=0$.
Series y Sucesiones,Sucesiones,dificil,Sea $a_n = \frac{3n^2-1}{n^2+n+1}$. Determine si la sucesion es eventualmente monotona y su limite.,"Eventualmente creciente, limite $3$","No es monotona, diverge","Eventualmente creciente, limite $1$","Eventualmente decreciente, limite $3$",D,"El limite es $\frac{3}{1}=3$. Para $n$ grande, $a_n>3-\epsilon$ y $a_n$ se acerca a $3$ desde arriba (el numerador pierde $1$, el denominador gana), asi que es eventualmente decreciente."
Series y Sucesiones,Series,facil,Calcule la suma de la serie geometrica $\sum_{n=1}^{\infty} \frac{1}{2^n}$.,$2$,$1$,$\frac{1}{2}$,Diverge,B,Serie geometrica con $a=\frac{1}{2}$ y $r=\frac{1}{2}$. Suma $=\frac{a}{1-r}=\frac{1/2}{1/2}=1$.
Series y Sucesiones,Series,facil,La serie geometrica $\sum_{n=0}^{\infty} ar^n$ converge si y solo si:,$\lvert r\rvert < 1$,$r > 0$,$\lvert r\rvert \le 1$,$r < 1$,A,Una serie geometrica converge exactamente cuando $\lvert r\rvert < 1$.
Series y Sucesiones,Series,facil,"Si $\sum_{n=1}^{\infty} a_n$ converge, entonces necesariamente:",$a_n > 0$ para todo $n$,$a_n$ es decreciente,$\lim_{n\to\infty} a_n = 1$,$\lim_{n\to\infty} a_n = 0$,D,"Condicion necesaria de convergencia: si la serie converge, $\lim a_n = 0$."
Series y Sucesiones,Series,facil,¿Que es la suma parcial $S_N$ de una serie $\sum_{n=1}^{\infty} a_n$?,$S_N = a_1 + a_N$,$S_N = \sum_{n=1}^{N} a_n$,$S_N = \lim_{n\to\infty} a_n$,$S_N = a_N$,A,La suma parcial es $S_N = \sum_{n=1}^{N}a_n = a_1+a_2+\cdots+a_N$.
Series y Sucesiones,Series,facil,Determine si la serie $\sum_{n=1}^{\infty} \frac{n}{n+1}$ converge o diverge usando la prueba de la divergencia.,Converge,No se puede determinar,Diverge,Converge a $\frac{1}{2}$,C,"$\lim_{n\to\infty}\frac{n}{n+1}=1\ne 0$. Por la prueba de la divergencia, la serie diverge."
Series y Sucesiones,Series,facil,Calcule la suma de $\sum_{n=1}^{\infty} 5\left(\frac{1}{3}\right)^{n-1}$.,$5$,$\frac{15}{2}$,$\frac{5}{3}$,$3$,B,Serie geometrica con $a=5$ y $r=\frac{1}{3}$. Suma $=\frac{5}{1-1/3}=\frac{5}{2/3}=\frac{15}{2}$.
Series y Sucesiones,Series,medio,Determine si $\sum_{n=1}^{\infty} 2^{2n} \cdot 3^{1-n}$ converge o diverge.,Converge a $12$,Converge a $\frac{3}{4}$,Diverge,Converge a $3$,C,"Reescribiendo: $4^n \cdot 3 \cdot 3^{-n}=3\left(\frac{4}{3}\right)^n$. Como $r=\frac{4}{3}>1$, diverge."
Series y Sucesiones,Series,medio,Determine si $\sum_{n=1}^{\infty} \frac{n^2}{5n^2+4}$ converge o diverge.,Diverge,Converge a $0$,Converge a $5$,Converge a $\frac{1}{5}$,A,"$\lim_{n\to\infty}\frac{n^2}{5n^2+4}=\frac{1}{5}\ne 0$. Por la prueba de la divergencia, diverge."
Series y Sucesiones,Series,medio,Calcule $\sum_{n=1}^{\infty} \frac{1}{n(n+1)}$.,$\frac{1}{2}$,$2$,$1$,Diverge,C,Por fracciones parciales: $\frac{1}{n(n+1)}=\frac{1}{n}-\frac{1}{n+1}$. Serie telescopica: $S_N=1-\frac{1}{N+1}\to 1$.
Series y Sucesiones,Series,medio,Calcule $\sum_{n=1}^{\infty} \left(\frac{3}{n(n+1)}+\frac{1}{2^n}\right)$.,$3$,$2$,$4$,$5$,C,$3\sum\frac{1}{n(n+1)}+\sum\frac{1}{2^n}=3(1)+1=4$.
Series y Sucesiones,Series,medio,Calcule $\sum_{n=0}^{\infty} \frac{3}{4^n}$.,$3$,$4$,$\frac{3}{4}$,$12$,B,"Serie geometrica con $a=3$, $r=\frac{1}{4}$. Suma $=\frac{3}{1-1/4}=\frac{3}{3/4}=4$."
Series y Sucesiones,Series,medio,¿La serie $\sum_{n=1}^{\infty} \frac{1}{n}$ (armonica) converge o diverge?,Converge a $1$,Converge a $\ln(2)$,Converge a $e$,Diverge,D,La serie armonica es el ejemplo clasico de una serie cuyos terminos tienden a $0$ pero que diverge.
Series y Sucesiones,Series,medio,Calcule $\sum_{n=1}^{\infty} \left(\frac{1}{n+1}-\frac{1}{n+2}\right)$.,$1$,$\frac{1}{3}$,$\frac{1}{4}$,$\frac{1}{2}$,D,Serie telescopica: $S_N = \frac{1}{2}-\frac{1}{N+2}\to \frac{1}{2}$.
Series y Sucesiones,Series,medio,"Si $\lim_{n\to\infty} a_n = 0$, ¿se puede concluir que $\sum a_n$ converge?","Si, siempre converge","No, es condicion necesaria pero no suficiente","Si, si $a_n>0$","No, siempre diverge",B,Es condicion necesaria pero no suficiente. Contraejemplo: $\sum \frac{1}{n}$ diverge aunque $\frac{1}{n}\to 0$.
Series y Sucesiones,Series,dificil,Calcule $\sum_{n=1}^{\infty} \frac{2^n+3^n}{6^n}$.,$2$,$\frac{5}{6}$,$1$,$\frac{3}{2}$,D,$\sum\frac{2^n}{6^n}+\sum\frac{3^n}{6^n}=\sum(\frac{1}{3})^n+\sum(\frac{1}{2})^n=\frac{1/3}{2/3}+\frac{1/2}{1/2}=\frac{1}{2}+1=\frac{3}{2}$.
Series y Sucesiones,Series,dificil,Calcule $\sum_{n=2}^{\infty} \frac{1}{n^2-1}$.,$\frac{3}{4}$,$\frac{1}{2}$,$1$,$\frac{1}{4}$,A,$\frac{1}{n^2-1}=\frac{1}{2}\left(\frac{1}{n-1}-\frac{1}{n+1}\right)$. Telescopica: $S_N=\frac{1}{2}(1+\frac{1}{2}-\frac{1}{N}-\frac{1}{N+1})\to\frac{3}{4}$.
Series y Sucesiones,Series,dificil,Calcule $\sum_{n=0}^{\infty} \frac{(-1)^n}{4^n}$.,$\frac{4}{3}$,$\frac{4}{5}$,$\frac{1}{5}$,$-\frac{1}{4}$,B,"Serie geometrica con $a=1$, $r=-\frac{1}{4}$. Suma $=\frac{1}{1-(-1/4)}=\frac{1}{5/4}=\frac{4}{5}$."
Series y Sucesiones,Series,dificil,Calcule $\sum_{n=1}^{\infty} \frac{1}{n(n+2)}$.,$\frac{1}{2}$,$\frac{1}{4}$,$1$,$\frac{3}{4}$,D,$\frac{1}{n(n+2)}=\frac{1}{2}(\frac{1}{n}-\frac{1}{n+2})$. Telescopica: $\frac{1}{2}(1+\frac{1}{2})=\frac{3}{4}$.
Series y Sucesiones,Series,dificil,Determine si $\sum_{n=1}^{\infty} \cos\left(\frac{1}{n}\right)$ converge o diverge.,Converge a $\cos(1)$,Converge a $0$,Diverge,Converge a $1$,C,"$\lim_{n\to\infty}\cos(\frac{1}{n})=\cos(0)=1\ne 0$. Por la prueba de la divergencia, la serie diverge."
Series y Sucesiones,Series,dificil,Calcule $\sum_{n=1}^{\infty} \ln\left(\frac{n+1}{n}\right)$.,Diverge,Converge a $1$,Converge a $\ln(2)$,Converge a $0$,A,$S_N = \ln(2)-\ln(1)+\ln(3)-\ln(2)+\cdots=\ln(N+1)\to\infty$. Diverge (telescopica que no converge).
Series y Sucesiones,Pruebas de series,facil,La serie $\sum_{n=1}^{\infty} \frac{1}{n^2}$ es una serie p con $p=2$. ¿Converge o diverge?,No se puede determinar,Diverge,Converge,Depende del indice inicial,C,"Como $p=2>1$, la serie p converge."
Series y Sucesiones,Pruebas de series,facil,¿Para que valores de $p$ converge la serie p $\sum_{n=1}^{\infty} \frac{1}{n^p}$?,$p > 1$,$p > 0$,$p \ge 1$,$p > 2$,A,La serie p converge si y solo si $p > 1$.
Series y Sucesiones,Pruebas de series,facil,La serie $\sum_{n=1}^{\infty} \frac{1}{n}$ es una serie p con $p=1$. ¿Converge o diverge?,Converge a $1$,Converge a $e$,Diverge,Converge a $\ln(2)$,C,"Es la serie armonica, una serie p con $p=1\le 1$, por tanto diverge."
Series y Sucesiones,Pruebas de series,facil,"La Prueba de la Integral establece que si $f$ es positiva, continua y decreciente, entonces $\sum_{n=N}^{\infty} f(n)$ y $\int_N^{\infty} f(x)\,dx$:",Ambas convergen,Convergen o divergen juntas,Ambas divergen,Son iguales,B,"Ambas convergen o divergen juntas, pero no necesariamente son iguales."
Series y Sucesiones,Pruebas de series,facil,¿Converge la serie $\sum_{n=1}^{\infty} \frac{1}{n^{3/2}}$?,Diverge,No se puede determinar,Converge,Depende de $n$,C,"Es una serie p con $p=\frac{3}{2}>1$, por tanto converge."
Series y Sucesiones,Pruebas de series,facil,"En la Prueba por Comparacion Directa, si $0 \le a_n \le b_n$ y $\sum b_n$ converge, entonces:",$\sum a_n$ diverge,No se puede concluir nada,$\sum a_n$ converge,$\sum a_n = \sum b_n$,C,"Si una serie mayor converge, toda serie menor (con terminos no negativos) tambien converge."
Series y Sucesiones,Pruebas de series,medio,"Usando la Prueba de la Integral, determine si $\sum_{n=1}^{\infty} \frac{1}{n^2+1}$ converge o diverge.",Converge a $\frac{\pi}{4}$,Diverge,No se puede aplicar la prueba,Converge,D,"$f(x)=\frac{1}{x^2+1}$ es positiva, continua y decreciente. $\int_1^\infty \frac{dx}{x^2+1}=\frac{\pi}{2}-\frac{\pi}{4}=\frac{\pi}{4}$, converge. Entonces la serie converge."
Series y Sucesiones,Pruebas de series,medio,"Usando comparacion directa, determine si $\sum_{n=1}^{\infty} \frac{5}{2n^2+4n+3}$ converge o diverge.",Diverge,No se puede determinar,Converge a $5$,Converge,D,"Para $n\ge 1$: $\frac{5}{2n^2+4n+3}<\frac{5}{2n^2}=\frac{5}{2}\cdot\frac{1}{n^2}$. Como $\sum\frac{1}{n^2}$ converge (serie p, $p=2$), por comparacion converge."
Series y Sucesiones,Pruebas de series,medio,Determine si $\sum_{n=1}^{\infty} \frac{1}{n^{1/2}}$ converge o diverge.,Converge,Diverge,Converge a $2$,No se puede determinar,B,"Es una serie p con $p=\frac{1}{2}\le 1$, por tanto diverge."
Series y Sucesiones,Pruebas de series,medio,"Usando la Prueba por Comparacion al Limite con $b_n=\frac{1}{n^2}$, determine si $\sum_{n=1}^{\infty} \frac{1}{n^2+n}$ converge.",Diverge,No se puede determinar,Converge a $1$,Converge,D,"$\lim_{n\to\infty}\frac{1/(n^2+n)}{1/n^2}=\lim\frac{n^2}{n^2+n}=1$. Como $0<1<\infty$ y $\sum\frac{1}{n^2}$ converge, $\sum\frac{1}{n^2+n}$ converge."
Series y Sucesiones,Pruebas de series,medio,"Usando comparacion, determine si $\sum_{n=2}^{\infty} \frac{1}{n\ln(n)}$ converge o diverge.",Diverge,Converge a $\ln(2)$,Converge,No se puede determinar,A,Por la Prueba de la Integral: $\int_2^\infty \frac{dx}{x\ln x}=\ln(\ln x)\Big\rvert_2^\infty=\infty$. Diverge.
Series y Sucesiones,Pruebas de series,medio,"Usando comparacion directa con $\sum \frac{1}{n^2}$, ¿converge $\sum_{n=1}^{\infty} \frac{\sin^2(n)}{n^2}$?",Diverge,Converge,No se puede determinar,Converge a $\frac{\pi^2}{12}$,B,"$0\le \frac{\sin^2(n)}{n^2}\le \frac{1}{n^2}$ y $\sum\frac{1}{n^2}$ converge. Por comparacion, converge."
Series y Sucesiones,Pruebas de series,medio,Determine si $\sum_{n=1}^{\infty} \frac{n}{n^3+1}$ converge o diverge.,Diverge,Converge a $\frac{1}{2}$,No se puede determinar,Converge,D,"$\frac{n}{n^3+1}\sim \frac{1}{n^2}$ para $n$ grande. Por comparacion al limite con $\sum\frac{1}{n^2}$ (converge, $p=2$), la serie converge."
Series y Sucesiones,Pruebas de series,medio,¿Es correcto usar la Prueba de la Integral para $\sum_{n=1}^{\infty} \frac{(-1)^n}{n}$?,"No, porque $f(x)=\frac{(-1)^x}{x}$ no es positiva","Si, y la serie diverge","Si, y la serie converge","No, porque no es continua",A,"La Prueba de la Integral requiere $f(x)>0$. Como $\frac{(-1)^n}{n}$ alterna en signo, no aplica."
Series y Sucesiones,Pruebas de series,dificil,Determine si $\sum_{n=1}^{\infty} \frac{2n^2+3n}{\sqrt{5+n^5}}$ converge o diverge.,Diverge,Converge a $2$,Converge,No se puede determinar,C,"Para $n$ grande: $\frac{2n^2+3n}{\sqrt{n^5}}\sim \frac{2n^2}{n^{5/2}}=\frac{2}{n^{1/2}}$. Pero la comparacion al limite con $\frac{1}{n^{1/2}}$ da $L=2>0$, y $\sum\frac{1}{n^{1/2}}$ diverge... Revisemos: $\frac{2n^2}{\sqrt{n^5}}=\frac{2}{n^{1/2}}$, diverge. Pero el termino original es $\frac{2n^2+3n}{\sqrt{5+n^5}}$. Comparando con $\frac{1}{\sqrt{n}}$: $\lim\frac{a_n}{1/\sqrt{n}}=\lim\frac{(2n^2+3n)\sqrt{n}}{\sqrt{5+n^5}}=\lim\frac{2n^{5/2}}{n^{5/2}}=2$. Diverge."
Series y Sucesiones,Pruebas de series,dificil,"Determine si $\sum_{n=1}^{\infty} \frac{1}{n^2+n}$ converge y, si converge, halle su suma.",$\frac{1}{2}$,Diverge,$2$,$1$,D,$\frac{1}{n^2+n}=\frac{1}{n(n+1)}=\frac{1}{n}-\frac{1}{n+1}$. Telescopica: $S=1$.
Series y Sucesiones,Pruebas de series,dificil,Determine si $\sum_{n=1}^{\infty} \frac{1}{n(\ln n)^2}$ (para $n\ge 2$) converge o diverge.,Diverge,Converge,Converge a $\frac{1}{\ln 2}$,No se puede determinar,B,Prueba de la Integral: $\int_2^\infty \frac{dx}{x(\ln x)^2}$. Con $u=\ln x$: $\int \frac{du}{u^2}=-\frac{1}{u}=-\frac{1}{\ln x}$. Evaluando: $0+\frac{1}{\ln 2}=\frac{1}{\ln 2}$. Converge.
Series y Sucesiones,Pruebas de series,dificil,Determine si $\sum_{n=1}^{\infty} \frac{1}{2^n+n}$ converge o diverge.,Diverge,Converge,No se puede determinar,Converge a $\frac{1}{2}$,B,"$\frac{1}{2^n+n}<\frac{1}{2^n}$ y $\sum\frac{1}{2^n}$ converge (geometrica). Por comparacion, converge."
